place_id,name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,index_jan,index_feb,index_mar,index_apr,index_may,index_jun,index_jul,index_aug,index_sep,index_oct,index_nov,index_dec
AGT,Agartala,0.34,0.81,1.93,6.8,11.59,14.46,12.78,10.37,8.76,5.57,1.08,0.63,0.0178,0.0423,0.1008,0.3553,0.6055,0.7555,0.6677,0.5418,0.4577,0.291,0.0564,0.0329
AZL,Aizawl,0.26,0.64,1.56,5.14,9.62,13.45,13.39,10.58,8.45,5.47,1.04,0.48,0.0136,0.0334,0.0815,0.2685,0.5026,0.7027,0.6996,0.5528,0.4415,0.2858,0.0543,0.0251
BNG,Bongaigaon,0.2,0.62,1.59,7.29,9.65,12.7,12.93,9.88,8.74,4.66,0.3,0.13,0.0104,0.0324,0.0831,0.3809,0.5042,0.6635,0.6755,0.5162,0.4566,0.2435,0.0157,0.0068
BPT,Barpeta,0.21,0.68,1.72,7.74,9.29,11.98,11.3,8.8,7.31,4.15,0.38,0.17,0.011,0.0355,0.0899,0.4044,0.4854,0.6259,0.5904,0.4598,0.3819,0.2168,0.0199,0.0089
BYR,Byrnihat,0.24,0.75,1.91,7.67,9.23,12.46,11.73,9.21,7.6,4.36,0.45,0.27,0.0125,0.0392,0.0998,0.4007,0.4822,0.651,0.6129,0.4812,0.3971,0.2278,0.0235,0.0141
CCP,Churachandpur,0.29,0.71,1.57,4.05,5.41,6.87,7.04,5.65,5.01,3.62,0.72,0.5,0.0152,0.0371,0.082,0.2116,0.2827,0.3589,0.3678,0.2952,0.2618,0.1891,0.0376,0.0261
CHP,Champhai,0.21,0.45,1.04,3.02,5.07,7.26,7.26,5.96,4.55,3.37,0.69,0.32,0.011,0.0235,0.0543,0.1578,0.2649,0.3793,0.3793,0.3114,0.2377,0.1761,0.0361,0.0167
DBG,Dibrugarh,0.6,1.58,2.83,7.37,9.76,13.41,15.95,12.68,10.68,3.78,0.68,0.27,0.0313,0.0825,0.1479,0.3851,0.5099,0.7006,0.8333,0.6625,0.558,0.1975,0.0355,0.0141
DBR,Dhubri,0.22,0.52,1.31,5.79,9.22,12.98,13.52,10.62,10.76,5.54,0.26,0.12,0.0115,0.0272,0.0684,0.3025,0.4817,0.6782,0.7064,0.5549,0.5622,0.2894,0.0136,0.0063
DMN,Dharmanagar,0.36,1.04,2.6,10.13,15.32,19.14,16.86,13.93,11.43,6.56,0.92,0.71,0.0188,0.0543,0.1358,0.5293,0.8004,1.0,0.8809,0.7278,0.5972,0.3427,0.0481,0.0371
DMP,Dimapur,0.31,0.77,1.57,4.29,6.19,7.76,8.03,7.21,5.96,3.01,0.7,0.35,0.0162,0.0402,0.082,0.2241,0.3234,0.4054,0.4195,0.3767,0.3114,0.1573,0.0366,0.0183
DPU,Diphu,0.28,0.75,1.57,4.67,6.53,7.91,7.76,7.14,5.84,2.95,0.69,0.37,0.0146,0.0392,0.082,0.244,0.3412,0.4133,0.4054,0.373,0.3051,0.1541,0.0361,0.0193
GAU,Guwahati,0.24,0.75,1.91,7.67,9.23,12.46,11.73,9.21,7.6,4.36,0.45,0.27,0.0125,0.0392,0.0998,0.4007,0.4822,0.651,0.6129,0.4812,0.3971,0.2278,0.0235,0.0141
GLG,Golaghat,0.37,0.91,1.8,5.21,7.54,9.94,10.39,9.1,7.52,3.22,0.7,0.32,0.0193,0.0475,0.094,0.2722,0.3939,0.5193,0.5428,0.4754,0.3929,0.1682,0.0366,0.0167
GLP,Goalpara,0.24,0.66,1.64,7.36,9.92,13.43,13.11,10.12,9.18,5.15,0.33,0.18,0.0125,0.0345,0.0857,0.3845,0.5183,0.7017,0.685,0.5287,0.4796,0.2691,0.0172,0.0094
GTK,Gangtok,0.16,0.42,0.96,1.89,3.57,5.4,9.15,7.27,5.11,1.55,0.1,0.09,0.0084,0.0219,0.0502,0.0987,0.1865,0.2821,0.4781,0.3798,0.267,0.081,0.0052,0.0047
HFL,Haflong,0.27,0.9,2.05,6.15,8.22,10.1,9.79,8.14,7.01,4.29,0.79,0.58,0.0141,0.047,0.1071,0.3213,0.4295,0.5277,0.5115,0.4253,0.3662,0.2241,0.0413,0.0303
IMP,Imphal,0.3,0.77,1.66,4.35,5.84,7.25,7.53,6.15,5.42,3.66,0.77,0.51,0.0157,0.0402,0.0867,0.2273,0.3051,0.3788,0.3934,0.3213,0.2832,0.1912,0.0402,0.0266
ITN,Itanagar,0.44,1.11,2.08,6.34,9.01,12.93,14.0,11.69,9.7,3.73,0.71,0.31,0.023,0.058,0.1087,0.3312,0.4707,0.6755,0.7315,0.6108,0.5068,0.1949,0.0371,0.0162
JGP,Jogighopa,0.24,0.66,1.64,7.36,9.92,13.43,13.11,10.12,9.18,5.15,0.33,0.18,0.0125,0.0345,0.0857,0.3845,0.5183,0.7017,0.685,0.5287,0.4796,0.2691,0.0172,0.0094
JRT,Jorhat,0.49,1.23,2.22,6.12,8.66,12.3,13.51,11.41,9.33,3.59,0.67,0.28,0.0256,0.0643,0.116,0.3197,0.4525,0.6426,0.7059,0.5961,0.4875,0.1876,0.035,0.0146
JWI,Jowai,0.24,0.91,2.27,8.05,10.63,14.29,13.77,11.14,9.1,4.75,0.68,0.51,0.0125,0.0475,0.1186,0.4206,0.5554,0.7466,0.7194,0.582,0.4754,0.2482,0.0355,0.0266
KHM,Kohima,0.31,0.65,1.45,3.55,5.16,6.71,7.38,6.16,5.12,3.1,0.65,0.36,0.0162,0.034,0.0758,0.1855,0.2696,0.3506,0.3856,0.3218,0.2675,0.162,0.034,0.0188
KLB,Kolasib,0.26,0.8,1.96,6.73,10.84,13.55,12.07,10.32,8.38,5.38,0.89,0.59,0.0136,0.0418,0.1024,0.3516,0.5664,0.7079,0.6306,0.5392,0.4378,0.2811,0.0465,0.0308
KRJ,Karimganj,0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
LGL,Lunglei,0.26,0.53,1.24,4.09,8.86,14.68,16.92,12.11,9.36,5.75,1.27,0.38,0.0136,0.0277,0.0648,0.2137,0.4629,0.767,0.884,0.6327,0.489,0.3004,0.0664,0.0199
LMD,Lumding,0.28,0.75,1.57,4.67,6.53,7.91,7.76,7.14,5.84,2.95,0.69,0.37,0.0146,0.0392,0.082,0.244,0.3412,0.4133,0.4054,0.373,0.3051,0.1541,0.0361,0.0193
MKG,Mokokchung,0.41,0.98,1.91,5.04,7.34,9.94,10.73,9.34,7.59,3.21,0.64,0.29,0.0214,0.0512,0.0998,0.2633,0.3835,0.5193,0.5606,0.488,0.3966,0.1677,0.0334,0.0152
NGN,Nagaon,0.26,0.7,1.66,6.02,7.63,9.43,9.34,7.74,6.51,3.17,0.62,0.27,0.0136,0.0366,0.0867,0.3145,0.3986,0.4927,0.488,0.4044,0.3401,0.1656,0.0324,0.0141
NHL,Naharlagun,0.44,1.11,2.08,6.34,9.01,12.93,14.0,11.69,9.7,3.73,0.71,0.31,0.023,0.058,0.1087,0.3312,0.4707,0.6755,0.7315,0.6108,0.5068,0.1949,0.0371,0.0162
NLB,Nalbari,0.21,0.68,1.72,7.74,9.29,11.98,11.3,8.8,7.31,4.15,0.38,0.17,0.011,0.0355,0.0899,0.4044,0.4854,0.6259,0.5904,0.4598,0.3819,0.2168,0.0199,0.0089
NLK,North Lakhimpur,0.49,1.23,2.22,6.12,8.66,12.3,13.51,11.41,9.33,3.59,0.67,0.28,0.0256,0.0643,0.116,0.3197,0.4525,0.6426,0.7059,0.5961,0.4875,0.1876,0.035,0.0146
NMS,Namsai,0.58,1.52,2.83,6.99,9.06,12.01,14.54,11.32,9.81,3.44,0.64,0.25,0.0303,0.0794,0.1479,0.3652,0.4734,0.6275,0.7597,0.5914,0.5125,0.1797,0.0334,0.0131
PDU,Pandu,0.24,0.75,1.91,7.67,9.23,12.46,11.73,9.21,7.6,4.36,0.45,0.27,0.0125,0.0392,0.0998,0.4007,0.4822,0.651,0.6129,0.4812,0.3971,0.2278,0.0235,0.0141
PSG,Pasighat,0.59,1.6,3.11,7.92,10.17,14.41,18.33,13.64,12.32,3.95,0.7,0.26,0.0308,0.0836,0.1625,0.4138,0.5313,0.7529,0.9577,0.7126,0.6437,0.2064,0.0366,0.0136
SCR,Silchar,0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
SHL,Shillong,0.29,1.04,2.66,10.59,13.53,19.13,18.91,14.39,11.82,6.2,0.59,0.48,0.0152,0.0543,0.139,0.5533,0.7069,0.9995,0.988,0.7518,0.6176,0.3239,0.0308,0.0251
SLG,Siliguri,0.18,0.41,0.95,2.33,5.25,9.25,15.28,11.38,9.71,2.96,0.18,0.08,0.0094,0.0214,0.0496,0.1217,0.2743,0.4833,0.7983,0.5946,0.5073,0.1546,0.0094,0.0042
SVS,Sivasagar,0.49,1.23,2.22,6.12,8.66,12.3,13.51,11.41,9.33,3.59,0.67,0.28,0.0256,0.0643,0.116,0.3197,0.4525,0.6426,0.7059,0.5961,0.4875,0.1876,0.035,0.0146
TSK,Tinsukia,0.58,1.52,2.83,6.99,9.06,12.01,14.54,11.32,9.81,3.44,0.64,0.25,0.0303,0.0794,0.1479,0.3652,0.4734,0.6275,0.7597,0.5914,0.5125,0.1797,0.0334,0.0131
TUR,Tura,0.3,0.57,1.34,5.79,9.38,13.24,13.26,10.67,10.79,6.01,0.3,0.18,0.0157,0.0298,0.07,0.3025,0.4901,0.6917,0.6928,0.5575,0.5637,0.314,0.0157,0.0094
TWG,Tawang,0.14,0.43,0.93,3.61,4.62,6.37,7.26,5.37,4.27,2.0,0.29,0.12,0.0073,0.0225,0.0486,0.1886,0.2414,0.3328,0.3793,0.2806,0.2231,0.1045,0.0152,0.0063
TZP,Tezpur,0.26,0.7,1.66,6.02,7.63,9.43,9.34,7.74,6.51,3.17,0.62,0.27,0.0136,0.0366,0.0867,0.3145,0.3986,0.4927,0.488,0.4044,0.3401,0.1656,0.0324,0.0141
UDP,Udaipur,0.34,0.72,1.82,5.52,10.66,14.62,15.11,11.82,9.72,6.02,1.32,0.65,0.0178,0.0376,0.0951,0.2884,0.5569,0.7638,0.7894,0.6176,0.5078,0.3145,0.069,0.034
WKH,Wokha,0.34,0.78,1.63,4.13,6.08,8.04,8.77,7.59,6.18,3.07,0.64,0.31,0.0178,0.0408,0.0852,0.2158,0.3177,0.4201,0.4582,0.3966,0.3229,0.1604,0.0334,0.0162
ZRO,Ziro,0.46,1.19,2.13,6.62,9.31,14.45,16.43,13.14,10.98,3.94,0.66,0.28,0.024,0.0622,0.1113,0.3459,0.4864,0.755,0.8584,0.6865,0.5737,0.2059,0.0345,0.0146
n10029435603,n10029435603 (via Jorhat),0.49,1.23,2.22,6.12,8.66,12.3,13.51,11.41,9.33,3.59,0.67,0.28,0.0256,0.0643,0.116,0.3197,0.4525,0.6426,0.7059,0.5961,0.4875,0.1876,0.035,0.0146
n10045466628,n10045466628 (via Karimganj),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n10083647515,n10083647515 (via Siliguri),0.18,0.41,0.95,2.33,5.25,9.25,15.28,11.38,9.71,2.96,0.18,0.08,0.0094,0.0214,0.0496,0.1217,0.2743,0.4833,0.7983,0.5946,0.5073,0.1546,0.0094,0.0042
n10083658519,n10083658519 (via Siliguri),0.18,0.41,0.95,2.33,5.25,9.25,15.28,11.38,9.71,2.96,0.18,0.08,0.0094,0.0214,0.0496,0.1217,0.2743,0.4833,0.7983,0.5946,0.5073,0.1546,0.0094,0.0042
n10106865512,n10106865512 (via Karimganj),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n1013084171,n1013084171 (via Tinsukia),0.58,1.52,2.83,6.99,9.06,12.01,14.54,11.32,9.81,3.44,0.64,0.25,0.0303,0.0794,0.1479,0.3652,0.4734,0.6275,0.7597,0.5914,0.5125,0.1797,0.0334,0.0131
n10133380464,n10133380464 (via Wokha),0.34,0.78,1.63,4.13,6.08,8.04,8.77,7.59,6.18,3.07,0.64,0.31,0.0178,0.0408,0.0852,0.2158,0.3177,0.4201,0.4582,0.3966,0.3229,0.1604,0.0334,0.0162
n10155070562,n10155070562 (via Namsai),0.58,1.52,2.83,6.99,9.06,12.01,14.54,11.32,9.81,3.44,0.64,0.25,0.0303,0.0794,0.1479,0.3652,0.4734,0.6275,0.7597,0.5914,0.5125,0.1797,0.0334,0.0131
n10155070585,n10155070585 (via Namsai),0.58,1.52,2.83,6.99,9.06,12.01,14.54,11.32,9.81,3.44,0.64,0.25,0.0303,0.0794,0.1479,0.3652,0.4734,0.6275,0.7597,0.5914,0.5125,0.1797,0.0334,0.0131
n10158835784,n10158835784 (via Itanagar),0.44,1.11,2.08,6.34,9.01,12.93,14.0,11.69,9.7,3.73,0.71,0.31,0.023,0.058,0.1087,0.3312,0.4707,0.6755,0.7315,0.6108,0.5068,0.1949,0.0371,0.0162
n1015933190,n1015933190 (via Tinsukia),0.58,1.52,2.83,6.99,9.06,12.01,14.54,11.32,9.81,3.44,0.64,0.25,0.0303,0.0794,0.1479,0.3652,0.4734,0.6275,0.7597,0.5914,0.5125,0.1797,0.0334,0.0131
n1015933192,n1015933192 (via Tinsukia),0.58,1.52,2.83,6.99,9.06,12.01,14.54,11.32,9.81,3.44,0.64,0.25,0.0303,0.0794,0.1479,0.3652,0.4734,0.6275,0.7597,0.5914,0.5125,0.1797,0.0334,0.0131
n1015933220,n1015933220 (via Tinsukia),0.58,1.52,2.83,6.99,9.06,12.01,14.54,11.32,9.81,3.44,0.64,0.25,0.0303,0.0794,0.1479,0.3652,0.4734,0.6275,0.7597,0.5914,0.5125,0.1797,0.0334,0.0131
n10213828706,n10213828706 (via Agartala),0.34,0.81,1.93,6.8,11.59,14.46,12.78,10.37,8.76,5.57,1.08,0.63,0.0178,0.0423,0.1008,0.3553,0.6055,0.7555,0.6677,0.5418,0.4577,0.291,0.0564,0.0329
n10214421941,n10214421941 (via Agartala),0.34,0.81,1.93,6.8,11.59,14.46,12.78,10.37,8.76,5.57,1.08,0.63,0.0178,0.0423,0.1008,0.3553,0.6055,0.7555,0.6677,0.5418,0.4577,0.291,0.0564,0.0329
n10216581821,n10216581821 (via Agartala),0.34,0.81,1.93,6.8,11.59,14.46,12.78,10.37,8.76,5.57,1.08,0.63,0.0178,0.0423,0.1008,0.3553,0.6055,0.7555,0.6677,0.5418,0.4577,0.291,0.0564,0.0329
n10246471099,n10246471099 (via Tinsukia),0.58,1.52,2.83,6.99,9.06,12.01,14.54,11.32,9.81,3.44,0.64,0.25,0.0303,0.0794,0.1479,0.3652,0.4734,0.6275,0.7597,0.5914,0.5125,0.1797,0.0334,0.0131
n10248662682,n10248662682 (via Tinsukia),0.58,1.52,2.83,6.99,9.06,12.01,14.54,11.32,9.81,3.44,0.64,0.25,0.0303,0.0794,0.1479,0.3652,0.4734,0.6275,0.7597,0.5914,0.5125,0.1797,0.0334,0.0131
n10250450247,n10250450247 (via Naharlagun),0.44,1.11,2.08,6.34,9.01,12.93,14.0,11.69,9.7,3.73,0.71,0.31,0.023,0.058,0.1087,0.3312,0.4707,0.6755,0.7315,0.6108,0.5068,0.1949,0.0371,0.0162
n10250450248,n10250450248 (via Naharlagun),0.44,1.11,2.08,6.34,9.01,12.93,14.0,11.69,9.7,3.73,0.71,0.31,0.023,0.058,0.1087,0.3312,0.4707,0.6755,0.7315,0.6108,0.5068,0.1949,0.0371,0.0162
n10250451041,n10250451041 (via Tinsukia),0.58,1.52,2.83,6.99,9.06,12.01,14.54,11.32,9.81,3.44,0.64,0.25,0.0303,0.0794,0.1479,0.3652,0.4734,0.6275,0.7597,0.5914,0.5125,0.1797,0.0334,0.0131
n10255327242,n10255327242 (via Naharlagun),0.44,1.11,2.08,6.34,9.01,12.93,14.0,11.69,9.7,3.73,0.71,0.31,0.023,0.058,0.1087,0.3312,0.4707,0.6755,0.7315,0.6108,0.5068,0.1949,0.0371,0.0162
n10262279665,n10262279665 (via Imphal),0.3,0.77,1.66,4.35,5.84,7.25,7.53,6.15,5.42,3.66,0.77,0.51,0.0157,0.0402,0.0867,0.2273,0.3051,0.3788,0.3934,0.3213,0.2832,0.1912,0.0402,0.0266
n10262284811,n10262284811 (via Imphal),0.3,0.77,1.66,4.35,5.84,7.25,7.53,6.15,5.42,3.66,0.77,0.51,0.0157,0.0402,0.0867,0.2273,0.3051,0.3788,0.3934,0.3213,0.2832,0.1912,0.0402,0.0266
n10264865634,n10264865634 (via Imphal),0.3,0.77,1.66,4.35,5.84,7.25,7.53,6.15,5.42,3.66,0.77,0.51,0.0157,0.0402,0.0867,0.2273,0.3051,0.3788,0.3934,0.3213,0.2832,0.1912,0.0402,0.0266
n10265667796,n10265667796 (via Imphal),0.3,0.77,1.66,4.35,5.84,7.25,7.53,6.15,5.42,3.66,0.77,0.51,0.0157,0.0402,0.0867,0.2273,0.3051,0.3788,0.3934,0.3213,0.2832,0.1912,0.0402,0.0266
n10265688213,n10265688213 (via Imphal),0.3,0.77,1.66,4.35,5.84,7.25,7.53,6.15,5.42,3.66,0.77,0.51,0.0157,0.0402,0.0867,0.2273,0.3051,0.3788,0.3934,0.3213,0.2832,0.1912,0.0402,0.0266
n10265749517,n10265749517 (via Imphal),0.3,0.77,1.66,4.35,5.84,7.25,7.53,6.15,5.42,3.66,0.77,0.51,0.0157,0.0402,0.0867,0.2273,0.3051,0.3788,0.3934,0.3213,0.2832,0.1912,0.0402,0.0266
n10266912010,n10266912010 (via Dharmanagar),0.36,1.04,2.6,10.13,15.32,19.14,16.86,13.93,11.43,6.56,0.92,0.71,0.0188,0.0543,0.1358,0.5293,0.8004,1.0,0.8809,0.7278,0.5972,0.3427,0.0481,0.0371
n10272701331,n10272701331 (via Dharmanagar),0.36,1.04,2.6,10.13,15.32,19.14,16.86,13.93,11.43,6.56,0.92,0.71,0.0188,0.0543,0.1358,0.5293,0.8004,1.0,0.8809,0.7278,0.5972,0.3427,0.0481,0.0371
n10272734400,n10272734400 (via Dharmanagar),0.36,1.04,2.6,10.13,15.32,19.14,16.86,13.93,11.43,6.56,0.92,0.71,0.0188,0.0543,0.1358,0.5293,0.8004,1.0,0.8809,0.7278,0.5972,0.3427,0.0481,0.0371
n10275531092,n10275531092 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n10277702327,n10277702327 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n10290751771,n10290751771 (via Tinsukia),0.58,1.52,2.83,6.99,9.06,12.01,14.54,11.32,9.81,3.44,0.64,0.25,0.0303,0.0794,0.1479,0.3652,0.4734,0.6275,0.7597,0.5914,0.5125,0.1797,0.0334,0.0131
n10290865162,n10290865162 (via Tinsukia),0.58,1.52,2.83,6.99,9.06,12.01,14.54,11.32,9.81,3.44,0.64,0.25,0.0303,0.0794,0.1479,0.3652,0.4734,0.6275,0.7597,0.5914,0.5125,0.1797,0.0334,0.0131
n10292560834,n10292560834 (via Agartala),0.34,0.81,1.93,6.8,11.59,14.46,12.78,10.37,8.76,5.57,1.08,0.63,0.0178,0.0423,0.1008,0.3553,0.6055,0.7555,0.6677,0.5418,0.4577,0.291,0.0564,0.0329
n10300198982,n10300198982 (via Aizawl),0.26,0.64,1.56,5.14,9.62,13.45,13.39,10.58,8.45,5.47,1.04,0.48,0.0136,0.0334,0.0815,0.2685,0.5026,0.7027,0.6996,0.5528,0.4415,0.2858,0.0543,0.0251
n10302235707,n10302235707 (via Naharlagun),0.44,1.11,2.08,6.34,9.01,12.93,14.0,11.69,9.7,3.73,0.71,0.31,0.023,0.058,0.1087,0.3312,0.4707,0.6755,0.7315,0.6108,0.5068,0.1949,0.0371,0.0162
n10304096999,n10304096999 (via Golaghat),0.37,0.91,1.8,5.21,7.54,9.94,10.39,9.1,7.52,3.22,0.7,0.32,0.0193,0.0475,0.094,0.2722,0.3939,0.5193,0.5428,0.4754,0.3929,0.1682,0.0366,0.0167
n10304104605,n10304104605 (via Jorhat),0.49,1.23,2.22,6.12,8.66,12.3,13.51,11.41,9.33,3.59,0.67,0.28,0.0256,0.0643,0.116,0.3197,0.4525,0.6426,0.7059,0.5961,0.4875,0.1876,0.035,0.0146
n10308074904,n10308074904 (via Udaipur),0.34,0.72,1.82,5.52,10.66,14.62,15.11,11.82,9.72,6.02,1.32,0.65,0.0178,0.0376,0.0951,0.2884,0.5569,0.7638,0.7894,0.6176,0.5078,0.3145,0.069,0.034
n10308421462,n10308421462 (via Agartala),0.34,0.81,1.93,6.8,11.59,14.46,12.78,10.37,8.76,5.57,1.08,0.63,0.0178,0.0423,0.1008,0.3553,0.6055,0.7555,0.6677,0.5418,0.4577,0.291,0.0564,0.0329
n10308693457,n10308693457 (via Agartala),0.34,0.81,1.93,6.8,11.59,14.46,12.78,10.37,8.76,5.57,1.08,0.63,0.0178,0.0423,0.1008,0.3553,0.6055,0.7555,0.6677,0.5418,0.4577,0.291,0.0564,0.0329
n10310636689,n10310636689 (via Dharmanagar),0.36,1.04,2.6,10.13,15.32,19.14,16.86,13.93,11.43,6.56,0.92,0.71,0.0188,0.0543,0.1358,0.5293,0.8004,1.0,0.8809,0.7278,0.5972,0.3427,0.0481,0.0371
n10316090575,n10316090575 (via Dimapur),0.31,0.77,1.57,4.29,6.19,7.76,8.03,7.21,5.96,3.01,0.7,0.35,0.0162,0.0402,0.082,0.2241,0.3234,0.4054,0.4195,0.3767,0.3114,0.1573,0.0366,0.0183
n10316091548,n10316091548 (via Agartala),0.34,0.81,1.93,6.8,11.59,14.46,12.78,10.37,8.76,5.57,1.08,0.63,0.0178,0.0423,0.1008,0.3553,0.6055,0.7555,0.6677,0.5418,0.4577,0.291,0.0564,0.0329
n10316679681,n10316679681 (via Udaipur),0.34,0.72,1.82,5.52,10.66,14.62,15.11,11.82,9.72,6.02,1.32,0.65,0.0178,0.0376,0.0951,0.2884,0.5569,0.7638,0.7894,0.6176,0.5078,0.3145,0.069,0.034
n10316737913,n10316737913 (via Udaipur),0.34,0.72,1.82,5.52,10.66,14.62,15.11,11.82,9.72,6.02,1.32,0.65,0.0178,0.0376,0.0951,0.2884,0.5569,0.7638,0.7894,0.6176,0.5078,0.3145,0.069,0.034
n10316796037,n10316796037 (via Udaipur),0.34,0.72,1.82,5.52,10.66,14.62,15.11,11.82,9.72,6.02,1.32,0.65,0.0178,0.0376,0.0951,0.2884,0.5569,0.7638,0.7894,0.6176,0.5078,0.3145,0.069,0.034
n10536208468,n10536208468 (via Karimganj),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n10536208503,n10536208503 (via Karimganj),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n10536208527,n10536208527 (via Karimganj),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n10536208542,n10536208542 (via Karimganj),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n10536208546,n10536208546 (via Karimganj),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n10536274640,n10536274640 (via Udaipur),0.34,0.72,1.82,5.52,10.66,14.62,15.11,11.82,9.72,6.02,1.32,0.65,0.0178,0.0376,0.0951,0.2884,0.5569,0.7638,0.7894,0.6176,0.5078,0.3145,0.069,0.034
n10536274675,n10536274675 (via Udaipur),0.34,0.72,1.82,5.52,10.66,14.62,15.11,11.82,9.72,6.02,1.32,0.65,0.0178,0.0376,0.0951,0.2884,0.5569,0.7638,0.7894,0.6176,0.5078,0.3145,0.069,0.034
n10536337108,n10536337108 (via Udaipur),0.34,0.72,1.82,5.52,10.66,14.62,15.11,11.82,9.72,6.02,1.32,0.65,0.0178,0.0376,0.0951,0.2884,0.5569,0.7638,0.7894,0.6176,0.5078,0.3145,0.069,0.034
n10536341847,n10536341847 (via Udaipur),0.34,0.72,1.82,5.52,10.66,14.62,15.11,11.82,9.72,6.02,1.32,0.65,0.0178,0.0376,0.0951,0.2884,0.5569,0.7638,0.7894,0.6176,0.5078,0.3145,0.069,0.034
n10538897392,n10538897392 (via Udaipur),0.34,0.72,1.82,5.52,10.66,14.62,15.11,11.82,9.72,6.02,1.32,0.65,0.0178,0.0376,0.0951,0.2884,0.5569,0.7638,0.7894,0.6176,0.5078,0.3145,0.069,0.034
n10542401530,n10542401530 (via Udaipur),0.34,0.72,1.82,5.52,10.66,14.62,15.11,11.82,9.72,6.02,1.32,0.65,0.0178,0.0376,0.0951,0.2884,0.5569,0.7638,0.7894,0.6176,0.5078,0.3145,0.069,0.034
n10542441849,n10542441849 (via Karimganj),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n10542636435,n10542636435 (via Udaipur),0.34,0.72,1.82,5.52,10.66,14.62,15.11,11.82,9.72,6.02,1.32,0.65,0.0178,0.0376,0.0951,0.2884,0.5569,0.7638,0.7894,0.6176,0.5078,0.3145,0.069,0.034
n10542793530,n10542793530 (via Karimganj),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n10548372060,n10548372060 (via Udaipur),0.34,0.72,1.82,5.52,10.66,14.62,15.11,11.82,9.72,6.02,1.32,0.65,0.0178,0.0376,0.0951,0.2884,0.5569,0.7638,0.7894,0.6176,0.5078,0.3145,0.069,0.034
n10548518804,n10548518804 (via Dharmanagar),0.36,1.04,2.6,10.13,15.32,19.14,16.86,13.93,11.43,6.56,0.92,0.71,0.0188,0.0543,0.1358,0.5293,0.8004,1.0,0.8809,0.7278,0.5972,0.3427,0.0481,0.0371
n10548518805,n10548518805 (via Dharmanagar),0.36,1.04,2.6,10.13,15.32,19.14,16.86,13.93,11.43,6.56,0.92,0.71,0.0188,0.0543,0.1358,0.5293,0.8004,1.0,0.8809,0.7278,0.5972,0.3427,0.0481,0.0371
n10548663503,n10548663503 (via Agartala),0.34,0.81,1.93,6.8,11.59,14.46,12.78,10.37,8.76,5.57,1.08,0.63,0.0178,0.0423,0.1008,0.3553,0.6055,0.7555,0.6677,0.5418,0.4577,0.291,0.0564,0.0329
